original,url,title
/aubergine,/eggplant,Aubergine
/aqpik,/cloudberry,Aqpik
/averin,/cloudberry,Averin
/baby-marrow,/zucchini,Baby Marrow
/brinjal,/eggplant,Brinjal
/courgette,/zucchini,Courgette
/carambola,/star-fruit,Carambola
/evron,/cloudberry,Evron
/gourd,/squash,Gourd
/indian-jujube,/ber,Indian Jujube
/jalapeno,/jalapeño,Jalapeno
/knotberry,/cloudberry,Knotberry
/manioc,/cassava,Manioc
/pickle,/cucumber,Pickle
/pitaya,/dragon-fruit,Pitaya
/pitahaya,/dragon-fruit,Pitahaya
/prune,/plum,Prune
/purple-yam,/ube,Purple Yam
/yuca,/cassava,Yuca